,day_of_week,hour,source,destination,type,avg_distance,avg_lyft_price,avg_uber_price,preferred
0,6,9,Haymarket Square,North Station,shared,0.52,3.6,7.5,Lyft
1,6,9,Haymarket Square,North Station,black_xl,0.49750000000000005,26.75,26.75,Lyft
2,6,9,Haymarket Square,North Station,lux,0.5091666666666668,13.38888888888889,15.333333333333334,Lyft
3,6,9,Haymarket Square,North Station,xl,0.49750000000000005,9.0,10.7,Lyft
4,6,9,Haymarket Square,North Station,standard,0.48875,7.0,6.875,Uber
5,6,9,Haymarket Square,Beacon Hill,standard,1.18,7.0,8.0,Lyft
6,6,9,Haymarket Square,Beacon Hill,lux,1.1409090909090909,15.0,15.785714285714286,Lyft
7,6,9,Haymarket Square,Beacon Hill,xl,1.2225,12.5,12.3,Uber
8,6,9,Haymarket Square,Beacon Hill,shared,1.161111111111111,3.25,7.857142857142857,Lyft
9,6,9,Haymarket Square,Beacon Hill,black_xl,1.1880000000000002,27.5,27.25,Uber
10,6,9,Haymarket Square,Back Bay,shared,2.0320000000000005,7.0,10.0,Lyft
11,6,9,Haymarket Square,Back Bay,black_xl,2.172307692307692,32.1875,29.3,Uber
12,6,9,Haymarket Square,Back Bay,lux,2.2391666666666667,20.555555555555557,21.5,Lyft
13,6,9,Haymarket Square,Back Bay,standard,2.15,10.5,10.75,Lyft
14,6,9,Haymarket Square,Back Bay,xl,2.125,15.75,17.75,Lyft
15,6,9,Haymarket Square,West End,standard,0.643,7.0,7.5,Lyft
16,6,9,Haymarket Square,West End,xl,0.6266666666666666,10.0,10.333333333333334,Lyft
17,6,9,Haymarket Square,West End,shared,0.63625,3.6666666666666665,6.1,Lyft
18,6,9,Haymarket Square,West End,lux,0.6392307692307693,14.583333333333334,15.5,Lyft
19,6,9,Haymarket Square,West End,black_xl,0.6390909090909092,26.6,27.083333333333332,Lyft
20,6,9,Haymarket Square,Theatre District,xl,1.2041666666666666,12.166666666666666,13.166666666666666,Lyft
21,6,9,Haymarket Square,Theatre District,black_xl,1.3125,26.6,26.833333333333332,Lyft
22,6,9,Haymarket Square,Theatre District,shared,1.2723076923076921,4.5,7.5,Lyft
23,6,9,Haymarket Square,Theatre District,standard,1.195,7.4,8.071428571428571,Lyft
24,6,9,Haymarket Square,Theatre District,lux,1.2642857142857142,15.0,17.75,Lyft
25,6,9,Haymarket Square,Financial District,xl,0.972857142857143,9.5,10.875,Lyft
26,6,9,Haymarket Square,Financial District,lux,1.0093750000000001,14.181818181818182,17.0,Lyft
27,6,9,Haymarket Square,Financial District,shared,0.98,4.25,7.5,Lyft
28,6,9,Haymarket Square,Financial District,black_xl,0.9774999999999999,26.6,27.5,Lyft
29,6,9,Haymarket Square,Financial District,standard,0.998,7.0,7.5,Lyft
30,6,9,North Station,Northeastern University,lux,3.3027272727272727,25.428571428571427,24.625,Uber
31,6,9,North Station,Northeastern University,standard,3.3211111111111116,11.25,10.428571428571429,Uber
32,6,9,North Station,Northeastern University,xl,3.3157142857142863,19.5,19.625,Lyft
33,6,9,North Station,Northeastern University,black_xl,3.321428571428572,38.5,33.7,Uber
34,6,9,North Station,Northeastern University,shared,3.3242857142857147,8.0,11.0,Lyft
35,6,9,North Station,Fenway,lux,3.104545454545455,23.0,24.6,Lyft
36,6,9,North Station,Fenway,standard,3.1046153846153848,10.785714285714286,10.083333333333334,Uber
37,6,9,North Station,Fenway,xl,3.1109999999999998,16.5,17.0,Lyft
38,6,9,North Station,Fenway,shared,3.1183333333333336,7.5,10.5,Lyft
39,6,9,North Station,Fenway,black_xl,3.09,34.0,34.0,Lyft
40,6,9,North Station,North End,lux,1.1371428571428572,15.375,16.333333333333332,Lyft
41,6,9,North Station,North End,black_xl,1.0690000000000002,26.75,26.416666666666668,Uber
42,6,9,North Station,North End,shared,1.0619999999999998,4.0,8.125,Lyft
43,6,9,North Station,North End,xl,1.06,10.5,11.0,Lyft
44,6,9,North Station,North End,standard,1.04,7.0,9.0,Lyft
45,6,9,North Station,Haymarket Square,lux,0.8477777777777776,12.666666666666666,16.833333333333332,Lyft
46,6,9,North Station,Haymarket Square,standard,0.5860000000000001,7.0,7.25,Lyft
47,6,9,North Station,Haymarket Square,black_xl,0.5740000000000001,27.5,26.75,Uber
48,6,9,North Station,Haymarket Square,xl,0.6166666666666667,10.5,10.5,Lyft
49,6,9,North Station,South Station,standard,2.1425,9.0,9.5,Lyft
50,6,9,North Station,South Station,shared,2.138333333333333,4.333333333333333,9.0,Lyft
51,6,9,North Station,South Station,lux,2.126153846153846,18.9,19.25,Lyft
52,6,9,North Station,South Station,xl,2.1266666666666674,13.5,14.05,Lyft
53,6,9,North Station,South Station,black_xl,2.137272727272727,28.333333333333332,28.625,Lyft
54,6,9,North Station,Boston University,shared,3.075999999999999,7.4,10.2,Lyft
55,6,9,North Station,Boston University,xl,3.0899999999999994,18.75,17.5,Uber
56,6,9,North Station,Boston University,black_xl,3.0509999999999993,35.75,31.916666666666668,Uber
57,6,9,North Station,Boston University,lux,3.09,25.9,25.0,Uber
58,6,9,North Station,Boston University,standard,3.05875,11.666666666666666,11.0,Uber
59,6,9,South Station,Back Bay,standard,2.8644444444444446,10.875,10.8,Uber
60,6,9,South Station,Back Bay,black_xl,3.20125,36.6,35.0,Uber
61,6,9,South Station,Back Bay,lux,3.0683333333333334,23.357142857142858,24.2,Lyft
62,6,9,South Station,Back Bay,xl,3.0862499999999997,18.75,16.625,Uber
63,6,9,South Station,Back Bay,shared,3.20125,7.4,11.166666666666666,Lyft
64,6,9,South Station,North Station,black_xl,1.9879999999999995,28.375,28.416666666666668,Lyft
65,6,9,South Station,North Station,lux,1.9246153846153848,19.1875,18.8,Uber
66,6,9,South Station,North Station,shared,1.8925,5.666666666666667,8.4,Lyft
67,6,9,South Station,North Station,xl,1.8975,14.1,13.785714285714286,Uber
68,6,9,South Station,North Station,standard,1.8433333333333335,9.0,9.583333333333334,Lyft
69,6,9,South Station,Beacon Hill,black_xl,2.49,33.25,31.0,Uber
70,6,9,South Station,Beacon Hill,shared,2.5285714285714285,6.125,10.0,Lyft
71,6,9,South Station,Beacon Hill,lux,2.5264285714285712,20.625,20.416666666666668,Uber
72,6,9,South Station,Beacon Hill,standard,2.49,11.0,10.166666666666666,Uber
73,6,9,South Station,Beacon Hill,xl,2.48,16.5,15.0,Uber
74,6,9,South Station,Financial District,shared,0.5877777777777777,5.0,5.25,Lyft
75,6,9,South Station,Financial District,black_xl,0.591111111111111,28.5,27.25,Uber
76,6,9,South Station,Financial District,lux,0.6090909090909091,14.3125,15.666666666666666,Lyft
77,6,9,South Station,Financial District,standard,0.62,8.5,7.0,Uber
78,6,9,South Station,Financial District,xl,0.6185714285714285,10.125,10.166666666666666,Lyft
79,6,9,South Station,West End,black_xl,1.9966666666666666,30.2,33.875,Lyft
80,6,9,South Station,West End,standard,2.0875,9.5,10.0,Lyft
81,6,9,South Station,West End,lux,1.8563636363636364,19.166666666666668,24.75,Lyft
82,6,9,South Station,West End,xl,1.905,14.7,13.5,Uber
83,6,9,South Station,West End,shared,1.9,5.666666666666667,8.5,Lyft
84,6,9,South Station,Theatre District,lux,1.3116666666666668,15.0,17.75,Lyft
85,6,9,South Station,Theatre District,xl,1.226,12.583333333333334,14.0,Lyft
86,6,9,South Station,Theatre District,black_xl,1.2057142857142857,26.75,27.5,Lyft
87,6,9,South Station,Theatre District,standard,1.2583333333333333,8.0,7.5,Uber
88,6,9,South Station,Theatre District,shared,1.2483333333333333,4.625,6.75,Lyft
89,6,9,Back Bay,Fenway,standard,1.35,7.0,8.928571428571429,Lyft
90,6,9,Back Bay,Fenway,xl,1.3699999999999999,13.5,13.25,Uber
91,6,9,Back Bay,Fenway,lux,1.3599999999999999,15.0,14.9,Uber
92,6,9,Back Bay,Fenway,black_xl,1.3499999999999999,26.0,24.2,Uber
93,6,9,Back Bay,Fenway,shared,1.3571428571428572,5.0,7.2,Lyft
94,6,9,Back Bay,Boston University,standard,1.4377777777777778,8.5,8.1,Uber
95,6,9,Back Bay,Boston University,black_xl,1.465,27.0,26.0,Uber
96,6,9,Back Bay,Boston University,lux,1.4677777777777776,17.285714285714285,16.5,Uber
97,6,9,Back Bay,Boston University,xl,1.43,13.5,12.25,Uber
98,6,9,Back Bay,Boston University,shared,1.456,4.5,8.75,Lyft
99,6,9,Back Bay,Northeastern University,lux,1.102857142857143,16.5,14.666666666666666,Uber
100,6,9,Back Bay,Northeastern University,shared,1.1242857142857143,6.333333333333333,7.875,Lyft
101,6,9,Back Bay,Northeastern University,xl,1.13625,14.666666666666666,12.3,Uber
102,6,9,Back Bay,Northeastern University,standard,1.1780000000000002,8.333333333333334,8.5,Lyft
103,6,9,Back Bay,Northeastern University,black_xl,1.1466666666666667,29.875,26.75,Uber
104,6,9,Back Bay,South Station,standard,2.3221428571428575,11.0,10.2,Uber
105,6,9,Back Bay,South Station,lux,2.0741176470588236,21.433333333333334,27.25,Lyft
106,6,9,Back Bay,South Station,shared,2.6063636363636364,6.625,9.571428571428571,Lyft
107,6,9,Back Bay,South Station,black_xl,3.3425000000000007,39.5,35.785714285714285,Uber
108,6,9,Back Bay,South Station,xl,2.5850000000000004,21.357142857142858,16.3,Uber
109,6,9,Back Bay,Haymarket Square,lux,2.3245454545454547,21.714285714285715,23.75,Lyft
110,6,9,Back Bay,Haymarket Square,black_xl,2.307142857142857,32.4,29.5,Uber
111,6,9,Back Bay,Haymarket Square,shared,2.31,7.0,9.666666666666666,Lyft
112,6,9,Back Bay,Haymarket Square,standard,2.2966666666666664,9.7,11.5,Lyft
113,6,9,Back Bay,Haymarket Square,xl,2.338,16.5,16.0,Uber
114,6,9,Back Bay,North End,shared,2.8254545454545457,6.642857142857143,10.0,Lyft
115,6,9,Back Bay,North End,lux,2.849,24.071428571428573,24.833333333333332,Lyft
116,6,9,Back Bay,North End,standard,2.7300000000000004,11.25,9.75,Uber
117,6,9,Back Bay,North End,black_xl,2.7883333333333327,35.5,33.5,Uber
118,6,9,Back Bay,North End,xl,2.7824999999999998,18.0,17.0,Uber
119,6,9,Boston University,West End,shared,3.0561538461538458,7.4,9.125,Lyft
120,6,9,Boston University,West End,standard,3.0546153846153845,10.6,9.5,Uber
121,6,9,Boston University,West End,lux,3.063571428571428,22.333333333333332,22.2,Uber
122,6,9,Boston University,West End,black_xl,3.0869999999999997,34.6,33.6,Uber
123,6,9,Boston University,West End,xl,3.068,18.0,17.0,Uber
124,6,9,Boston University,Back Bay,black_xl,1.605,26.0,26.333333333333332,Lyft
125,6,9,Boston University,Back Bay,lux,1.6620000000000001,16.5,17.0,Lyft
126,6,9,Boston University,Back Bay,xl,1.6014285714285716,11.833333333333334,14.125,Lyft
127,6,9,Boston University,Back Bay,standard,1.5385714285714287,9.0,8.3,Uber
128,6,9,Boston University,Back Bay,shared,1.5525000000000002,3.5,6.666666666666667,Lyft
129,6,9,Boston University,North Station,lux,3.4658333333333324,26.944444444444443,26.333333333333332,Uber
130,6,9,Boston University,North Station,xl,3.45,19.5,17.0,Uber
131,6,9,Boston University,North Station,black_xl,3.4528571428571433,37.4,35.75,Uber
